snapshot,Beauharnois,Carillon,GaspesieEolien,MontergieSolaire
2024-01-01 00:00:00,1.0,1.0,0.8,0.6
2024-01-01 01:00:00,1.0,1.0,0.7,0.5
2024-01-01 02:00:00,1.0,1.0,0.6,0.4
2024-01-01 03:00:00,1.0,1.0,0.5,0.3
2024-01-01 04:00:00,1.0,1.0,0.6,0.4
2024-01-01 05:00:00,1.0,1.0,0.8,0.6
2024-01-01 06:00:00,1.0,1.0,0.9,0.7
2024-01-01 07:00:00,1.0,1.0,1.0,0.8
2024-01-01 08:00:00,1.0,1.0,1.0,0.9
2024-01-01 09:00:00,1.0,1.0,1.0,1.0
2024-01-01 10:00:00,1.0,1.0,1.0,0.9
2024-01-01 11:00:00,1.0,1.0,1.0,0.8
2024-01-01 12:00:00,1.0,1.0,1.0,0.7
2024-01-01 13:00:00,1.0,1.0,1.0,0.6
2024-01-01 14:00:00,1.0,1.0,0.9,0.5
2024-01-01 15:00:00,1.0,1.0,0.8,0.6
2024-01-01 16:00:00,1.0,1.0,0.7,0.7
2024-01-01 17:00:00,1.0,1.0,0.6,0.8
2024-01-01 18:00:00,1.0,1.0,0.5,0.9
2024-01-01 19:00:00,1.0,1.0,0.6,1.0
2024-01-01 20:00:00,1.0,1.0,0.7,0.9
2024-01-01 21:00:00,1.0,1.0,0.8,0.8
2024-01-01 22:00:00,1.0,1.0,0.9,0.7
2024-01-01 23:00:00,1.0,1.0,1.0,0.6
