name,bus,p_nom,p_nom_extendable,p_nom_min,carrier
LaGrande2,LG2,5616,False,0,hydro_reservoir
Beauharnois,BEA,1912,False,0,hydro_fil
RobertBourassa,RAD,5616,False,0,hydro_reservoir
Manic5,MAN,1596,False,0,hydro_reservoir
ChurchillFalls,CHU,5428,False,0,hydro_reservoir
Carillon,MTL,753,False,0,hydro_fil    
Romaine1,MAG,270,True,270,hydro_reservoir
Romaine2,MAG,640,True,640,hydro_reservoir
Romaine3,MAG,395,True,395,hydro_reservoir
Romaine4,MAG,245,True,245,hydro_reservoir 
GaspesieEolien,GAT,160,True,0,eolien
Becancour,TRR,411,False,0,thermique      
MontergieSolaire,MTL,100,True,0,solaire
