node_name,used_as_start,used_as_end,latitude,longitude,geolocation_source
Abitibi,True,False,48.7177241,-77.9142732,
Abitibi Consolidated Alma,False,True,,,
Abitibi Consolidated Amos,True,True,,,
Abitibi Consolidated KÃƒÂ©nogami,True,True,,,
Achigan,True,True,46.8838313,-84.1708491,
Acton,True,True,51.5081402,-0.2732607,
Adamsville,False,True,33.6009389,-86.9561059,
AdÃƒÂ©lard-Godbout,True,True,,,
Alain-Grandbois,True,True,45.536315144898275,-73.66772176508078,
Albanel,True,True,48.883683,-72.442474,
Alcan Usine Shawinigan,False,True,,,
Alcoa,True,True,35.7847143,-83.986599,
Alcoa-Aluminierie de Deschambault SENC,True,True,,,
Alma,True,True,48.548887,-71.651459,
Almaville,False,True,35.8653425,-86.5811055,
Aluminerie Alouette,True,False,50.16014375,-66.44030932883572,
Aluminerie-de-BÃƒÂ©cancour,False,True,,,
AluminiÃƒÂ¨re Grande-Baie Alcan,True,True,,,
Amos,True,True,48.5718519,-78.1160856,
Amqui,True,True,48.4656706,-67.4315171,
Anjou,True,True,45.3462,4.88149,
Anne-HÃƒÂ©bert,False,True,,,
Anse-ÃƒÂ -Valleau,True,True,,,
Antoine-Lemieux,False,True,46.55932315,-75.4984846,
Appalaches,True,True,35.75,-82.25,
Aqueduc,True,True,45.3313847,-0.0283282,
Argonal Inc,True,True,,,
Arnaud,True,True,18.4474441,-73.3884745,
Arthabaska,True,True,45.9965832,-71.9875776,
Arthur-Buies,True,True,48.43052955,-68.52607680311249,
Asbestos,True,True,45.776623,-71.932297,
Atwater,True,True,45.1363343,-94.7810199,
B.O.C. Canada Inc,True,True,,,
Baie dUrfÃƒÂ©,True,False,,,
Baie-Saint-Paul,True,True,47.444343,-70.505447,
Baie-TrinitÃƒÂ©,True,True,,,
Basell Canada Inc,True,False,,,
Beauceville,True,True,46.210725,-70.774269,
Beauceville-Est,True,True,46.2024008,-70.7717706,
Beauharnois-Est,True,True,45.542896034776035,-73.64469635825193,
Beauharnois-Ouest,True,True,45.53074323454944,-73.65188847145528,
Beaulieu,True,True,47.7277699,4.7269377,
Beaumont,True,False,30.0860459,-94.1018461,
Beaumont GS,True,False,,,
Beauport,True,True,46.89834915,-71.2062892476116,
BeauprÃƒÂ©,True,True,,,
Bedford,False,True,40.0271453,-78.5237447,
Bergeronnes,True,True,48.243882,-69.545517,
Berri,True,False,-34.2854741,140.6017385,
Bersimis-1,True,True,49.2933544,-69.5515852,
Bersimis-2,True,False,49.175351500000005,-69.22591330326088,
Berthier,True,False,44.9940267,4.6740231,
Blainville,True,True,45.67932,-73.87619,
Bois-Francs,True,True,45.49389955,-73.73277019090784,
Bolduc,True,True,37.9786123,-90.04310134755936,
Boralex,False,True,50.7149883,2.277557242663656,
Boucherville,True,True,45.6050197,-73.4526144,
Boulevard-Labelle,False,True,45.99590394115092,-74.20128700782062,
Bourget,True,True,45.4348751,-75.1578861,
Bout-de-lÃƒÅ½le,True,True,,,
Bowater Gatineau,False,True,,,
Bowater Produits Forestiers,True,True,,,
Brisay,True,False,54.442568,-70.5306507,
Bromptonville,True,True,45.4749156,-71.9428879,
Brossard,True,True,45.4554579,-73.4678695,
Bryson,True,True,33.1620085,-98.3864152,
Buckingham,True,True,37.5558826,-78.5547172,
BÃƒÂ©cancour,True,True,,,
BÃƒÂ©cancour GS,False,True,,,
BÃƒÂ©langer,False,True,,,
Cabano,True,True,47.6836969,-68.8853408,
Cacouna,True,True,47.9171789,-69.5016092,
Cadieux,True,True,45.4313481,-74.0218419,
Cadillac,True,True,44.6360817,-0.3173533,
Calumet,True,True,44.0751086,-88.2144321,
Cap-de-la-Madeleine,False,True,46.368253,-72.509079,
Carignan,True,True,49.6319856,5.1682498,
Carillon,True,False,37.5433604,-77.4861702,
Carleton,True,True,46.3940835,-67.491134,
Casavant,False,True,46.26309435,-75.0041837400123,
Cascades Canada East Angus,False,True,,,
Cascades Canada Saguenay,True,True,,,
Cascades Groupe Papiers,True,True,,,
CascapÃƒÂ©dia,True,True,,,
Causapscal,True,True,48.3542375,-67.2269621,
Central-2,False,True,6.9734686,125.4785918,
Chambly,True,True,49.1662774,2.2444986,
Chamouchouane,True,True,,,
Chapais,True,False,49.7829998,-74.8572812,
Charette,True,True,46.9126896,5.199401,
Charland,True,True,46.7355594,-71.4707002,
Charlesbourg,True,True,46.89564985,-71.2908285897658,
Charlevoix,True,True,45.202075,-84.9676387,
ChaudiÃƒÂ¨re,True,True,,,
Chelsea,True,True,51.4875167,-0.1687007,
Chenaux,True,False,46.4948322,6.7291172,
ChenÃƒÂ©ville,False,True,,,
Chibougamau,True,True,49.9137407,-74.3713954,
Chicoutimi,False,True,48.3370248,-71.12352613559267,
Chicoutimi-Nord,True,True,48.4382053,-71.0750109,
Chigoubiche,False,True,48.98968517382856,-73.26403868063218,
Chisasibi,False,True,53.6520138,-78.3384139877295,
Chissibi,True,True,53.733769800000005,-76.00903082363152,
Chomedey,True,True,45.5384715,-73.7427541,
Chute-Allard,True,False,47.892936399999996,-73.7185591011652,
Chute-Hemmings,True,True,45.86243381113644,-72.44943252019252,
Chute-des-Passes,True,False,49.818166,-71.1480664,
Chute-du-diable,True,False,46.3886298,-74.5111379,
Chute-ÃƒÂ -Caron,True,True,,,
Chute-ÃƒÂ -la-Savane,True,True,,,
ChÃƒÂ¢teauguay,True,True,,,
ChÃƒÂ©nier,True,True,,,
Cleveland,True,True,41.4996574,-81.6936772,
Coaticook,True,True,45.1334169,-71.803479,
CogÃƒÂ©nÃƒÂ©ration Saint-FÃƒÂ©licien,True,True,,,
Coigny,True,True,49.3235511,-1.3830742,
Coleraine,True,True,55.1315912,-6.671861,
Compagnie Papiers Stadacona S.E.C.,False,True,,,
Companie-MiniÃƒÂ¨re-QuÃƒÂ©bec-Cartier,True,True,,,
Compass YUL II,False,True,,,
Contrecoeur,True,True,45.8573781,-73.2374307,
Copper Mountain,True,True,39.478088,-106.1628886814257,
Corporation MiniÃƒÂ¨re Inmet,False,True,,,
Coteau-du-Lac,False,True,45.2963957,-74.1782005,
