transmission_line_id,transmission_circuit_id,owner,province,operating_region,number_of_circuits,current_type,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage,reactance,ttc_summer,ttc_winter,network_node_name_starting,network_node_code_starting,network_node_name_ending,network_node_code_ending,notes
36156,HF1-HF2,Brookfield Renewable Energy,QC,Quebec,1,ac,30.780,19.000,30.780,19.000,120,12.95,107,118,High Falls,QC_HIF_GSS,Masson-Nord,QC_MSN_DSS,NULL
36157,L1100,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,68.400,42.222,68.400,42.222,120,28.78,107,118,Paugan,QC_PAU_GSS,Maniwaki,QC_MNI_DSS,NULL
36158,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,4.400,2.716,65.940,40.704,120,27.74,107,118,Interconnexion-Maclaren,QC_INM_SWS,Buckingham,QC_BUC_DSS,NULL
36159,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,11.400,7.037,65.940,40.704,120,27.74,107,118,Buckingham,QC_BUC_DSS,FPS Canada Inc,QC_FPS_ISS,NULL
36160,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.750,8.488,65.940,40.704,120,27.74,107,118,Templeton,QC_TMP_DSS,Interconnexion-Maclaren,QC_INM_SWS,NULL
36161,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,18.150,11.204,65.940,40.704,120,27.74,107,118,Erco Mondial Buckingham,QC_ERC_ISS,Interconnexion-Maclaren,QC_INM_SWS,NULL
36162,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,17.100,10.556,65.940,40.704,120,27.74,107,118,Thurso-Papineau,QC_THU_DSS,Petite-Nation,QC_PTN_TSS,NULL
36163,L1101,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.140,0.704,65.940,40.704,120,27.74,107,118,FPS Canada Inc,QC_FPS_ISS,Thurso-Papineau,QC_THU_DSS,Thurso renamed to Thurso-Papineau
36164,L1102,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,2,ac,0.550,0.340,24.200,14.938,120,10.18,107,118,Gatineau,QC_GAT_DSS,Bowater Gatineau,QC_BGT_ISS,NULL
36165,L1102,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,2,ac,3.850,2.377,24.200,14.938,120,10.18,107,118,Touraine,QC_TRN_DSS,Gatineau,QC_GAT_DSS,NULL
36166,L1102,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,13.750,8.488,24.200,14.938,120,10.18,107,118,Templeton,QC_TMP_DSS,Interconnexion-Maclaren,QC_INM_SWS,NULL
36167,L1102,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,6.050,3.735,24.200,14.938,120,10.18,107,118,Gatineau,QC_GAT_DSS,Templeton,QC_TMP_DSS,NULL
36168,L1103,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,4.400,2.716,4.400,2.716,120,1.85,107,118,Touraine,QC_TRN_DSS,Bowater Gatineau,QC_BGT_ISS,NULL
36169,L1104,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,4.400,2.716,34.040,21.012,120,14.32,107,118,Interconnexion-Maclaren,QC_INM_SWS,Buckingham,QC_BUC_DSS,NULL
36170,L1104,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,11.400,7.037,34.040,21.012,120,14.32,107,118,Buckingham,QC_BUC_DSS,FPS Canada Inc,QC_FPS_ISS,NULL
36171,L1104,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,17.100,10.556,34.040,21.012,120,14.32,107,118,Thurso-Papineau,QC_THU_DSS,Petite-Nation,QC_PTN_TSS,NULL
36172,L1104,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.140,0.704,34.040,21.012,120,14.32,107,118,FPS Canada Inc,QC_FPS_ISS,Thurso-Papineau,QC_THU_DSS,Thurso renamed to Thurso-Papineau
36173,L1105,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,0.220,0.136,6.820,4.210,120,2.87,107,118,Rapides-Farmers,QC_RPF_GSS,Limbour,QC_LMB_DSS,NULL
36174,L1105,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,1.650,1.019,6.820,4.210,120,2.87,107,118,Chelsea,QC_CHL_GSS,Rapides-Farmers,QC_RPF_GSS,NULL
36175,L1105,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,4.950,3.056,6.820,4.210,120,2.87,107,118,Limbour,QC_LMB_DSS,Touraine,QC_TRN_DSS,NULL
36176,L1106,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,4.400,2.716,4.400,2.716,120,1.85,107,118,Touraine,QC_TRN_DSS,Bowater Gatineau,QC_BGT_ISS,NULL
36177,L1107,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,22.800,14.074,22.800,14.074,120,9.59,107,118,Rapides-Farmers,QC_RPF_GSS,Wakefield,QC_WKF_DSS,NULL
36178,L1108,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,11.400,7.037,34.200,21.111,120,14.39,107,118,Wakefield,QC_WKF_DSS,Paugan,QC_PAU_GSS,NULL
36179,L1108,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,22.800,14.074,34.200,21.111,120,14.39,107,118,Rapides-Farmers,QC_RPF_GSS,Wakefield,QC_WKF_DSS,NULL
36180,L1109,Hydro-QuÃƒÂ©bec Transmission,QC,Quebec,1,ac,3.300,2.037,3.300,2.037,120,1.39,107,118,Lucerne,QC_LUC_SWS,Gamelin,QC_GAM_DSS,NULL
