node_name,used_as_start,used_as_end
Abitibi,True,False
Abitibi Consolidated Alma,False,True
Abitibi Consolidated Amos,True,True
Abitibi Consolidated KÃƒÂ©nogami,True,True
Achigan,True,True
Acton,True,True
Adamsville,False,True
AdÃƒÂ©lard-Godbout,True,True
Alain-Grandbois,True,True
Albanel,True,True
Alcan Usine Shawinigan,False,True
Alcoa,True,True
Alcoa-Aluminierie de Deschambault SENC,True,True
Alma,True,True
Almaville,False,True
Aluminerie Alouette,True,False
Aluminerie-de-BÃƒÂ©cancour,False,True
AluminiÃƒÂ¨re Grande-Baie Alcan,True,True
Amos,True,True
Amqui,True,True
Anjou,True,True
Anne-HÃƒÂ©bert,False,True
Anse-ÃƒÂ -Valleau,True,True
Antoine-Lemieux,False,True
Appalaches,True,True
Aqueduc,True,True
Argonal Inc,True,True
Arnaud,True,True
Arthabaska,True,True
Arthur-Buies,True,True
Asbestos,True,True
Atwater,True,True
B.O.C. Canada Inc,True,True
Baie dUrfÃƒÂ©,True,False
Baie-Saint-Paul,True,True
Baie-TrinitÃƒÂ©,True,True
Basell Canada Inc,True,False
Beauceville,True,True
Beauceville-Est,True,True
Beauharnois-Est,True,True
Beauharnois-Ouest,True,True
Beaulieu,True,True
Beaumont,True,False
Beaumont GS,True,False
Beauport,True,True
BeauprÃƒÂ©,True,True
Bedford,False,True
Bergeronnes,True,True
Berri,True,False
Bersimis-1,True,True
Bersimis-2,True,False
Berthier,True,False
Blainville,True,True
Bois-Francs,True,True
Bolduc,True,True
Boralex,False,True
Boucherville,True,True
Boulevard-Labelle,False,True
Bourget,True,True
Bout-de-lÃƒÅ½le,True,True
Bowater Gatineau,False,True
Bowater Produits Forestiers,True,True
Brisay,True,False
Bromptonville,True,True
Brossard,True,True
Bryson,True,True
Buckingham,True,True
BÃƒÂ©cancour,True,True
BÃƒÂ©cancour GS,False,True
BÃƒÂ©langer,False,True
Cabano,True,True
Cacouna,True,True
Cadieux,True,True
Cadillac,True,True
Calumet,True,True
Cap-de-la-Madeleine,False,True
Carignan,True,True
Carillon,True,False
Carleton,True,True
Casavant,False,True
Cascades Canada East Angus,False,True
Cascades Canada Saguenay,True,True
Cascades Groupe Papiers,True,True
