,London,Norwich,Norwich DC,Manchester,Bremen,Bremen DC,Frankfurt,Norway,Norway DC
0,-19.6879342565,-451.258808368,35.7962441027,470.9467426241,-204.93587901929996,-451.258808368,204.93587901939998,5.684341886080802e-14,415.462564265
1,-537.2535088088,-1239.4307079226,976.82456147,1776.6842167324003,96.30532155300006,-1239.43070792,-96.30532155350011,2.000319909711834e-10,262.606146453
2,-137.8230216254,-669.0636652362,250.587312046,806.8866868609,115.46324449770003,-669.063665237,-115.46324449819997,0.0,418.47635319
3,-71.9142295205,-683.7126838928,130.753144583,755.6269134138998,12.297463147999949,-683.712683892,-12.297463148299926,-1.0015810403274372e-10,552.95953931
4,-83.10509273,-369.260026691,151.1001686,452.365119421,-502.17182998410004,-369.260026691,502.1718299839001,3.998934516857844e-10,218.159858091
5,-512.521378568,-1723.8333175256,931.857051942,2236.3546960936,699.0969567978,-1723.83331753,-699.0969567981998,3.999502951046452e-10,791.976265584
6,-159.41655792970002,-821.7189679669,289.848287145,981.1355258973,50.19664851230007,-821.718967967,-50.196648511500086,2.999058779096231e-10,531.870680822
7,-475.3888269427,-887.8567884336001,864.343321715,1363.2456153768999,90.89375248850007,-887.856788433,-90.89375248939996,-4.00007138523506e-10,23.5134667186
8,-379.2674950733,-1659.6363322272,689.57726377,2038.9038272999999,437.07878736840007,-1659.63633223,-437.07878736780015,0.0,970.059068457
9,-345.33344226940005,-628.8038196337,627.878985943,974.1372619028999,-551.7948156823,-628.803819634,551.7948156816,2.0007273615618715e-10,0.9248336907
